Mean Variance AutoCorreDistance
0.931457 0.096185 1.196697
1.335380 0.173350 1.196697
0.894026 0.136072 1.196697
1.299207 0.146118 1.327561
1.154482 0.125417 1.327561
1.204379 0.114574 1.327561
1.002843 0.084664 1.327561
1.135185 0.105444 1.327561
0.958477 0.204512 0.969928
1.143780 0.191939 0.969928
0.890751 0.129477 0.969928
1.095612 0.338590 0.969928
0.777946 0.161637 0.969928
1.098959 0.093662 1.104597
0.874795 0.099416 0.956291
1.135297 0.184134 0.930443
0.822539 0.102701 1.463678
1.073091 0.062413 1.463678
0.927461 0.145975 1.463678
1.116036 0.135291 1.463678
0.930607 0.204525 1.463678
1.164828 0.141387 1.102492
0.984958 0.133355 0.898342
1.168626 0.108093 0.898342
1.027159 0.098717 0.898342
1.156908 0.062517 0.898342
1.049778 0.085497 0.898342
1.139926 0.082522 0.898342
1.045249 0.121364 1.105539
1.123644 0.137722 1.105539
1.032020 0.152681 1.187983
1.057816 0.130670 1.377898
1.030489 0.230961 1.377898
1.093517 0.082518 1.377898
1.049333 0.047486 1.377898
1.141810 0.169122 1.575128
1.123068 0.071359 1.575128
1.008218 0.085084 1.575128
1.262390 0.133897 1.575128
1.106464 0.069735 1.575128
1.277680 0.114227 1.575128
1.127505 0.062026 2.321376
1.185024 0.126021 2.321376
0.993972 0.122586 2.321376
1.174137 0.110341 2.321376
0.962848 0.086393 1.066017
1.122189 0.070276 0.943896
0.972126 0.168672 1.034458
1.115805 0.078075 1.034458
0.932104 0.193982 1.194832
1.077310 0.149092 1.194832
0.843762 0.156761 1.194832
1.166577 0.166756 1.194832
0.818197 0.206901 1.194832
1.066049 0.111083 1.194832
0.880758 0.065443 1.236518
1.086214 0.125778 0.769248
0.934010 0.069879 0.769248
1.121129 0.068075 0.769248
1.000273 0.101280 0.769248
1.154910 0.165218 0.612074
1.013205 0.122816 0.612074
1.180119 0.224134 0.690557
1.035854 0.115398 0.690557
1.171374 0.392448 0.690557
1.049645 0.111060 0.690557
1.151037 0.079288 0.690557
1.047693 0.084748 0.170628
1.119269 0.094140 0.170628
1.053458 0.086118 0.170628
1.157302 0.081173 0.170628
1.060107 0.166606 0.170628
1.136922 0.117958 0.170628
1.084132 0.215084 0.170628
0.852401 0.061538 0.170628
1.151161 0.131481 0.170628
0.992796 0.322380 0.170628
1.588890 0.270720 0.170628
1.207680 0.094624 0.244725
1.261743 0.125775 0.244725
1.061981 0.127332 0.244725
1.209055 0.154657 0.244725
1.036336 0.152764 0.244725
1.174227 0.186060 0.244725
0.970560 0.146298 0.244725
1.140331 0.270318 0.244725
0.892905 0.138012 0.244725
1.111033 0.056249 0.244725
0.963585 0.107561 0.244725
1.121317 0.112821 0.244725
0.897402 0.113933 0.244725
1.249038 0.098695 0.244725
0.911938 0.180855 0.244725
1.115173 0.123611 0.244725
0.926718 0.286970 0.244725
1.171643 0.135234 0.244725
0.966476 0.153890 0.244725
1.177220 0.110747 0.244725
1.013049 0.093788 0.244725
1.171951 0.077269 4.279631
0.999541 0.129067 4.279631
1.211231 0.096726 4.279631
1.027148 0.079902 4.279631
1.162266 0.182465 4.279631
1.009493 0.147094 4.279631
1.164861 0.172977 4.279631
0.997840 0.166479 4.279631
1.100715 0.118030 1.850198
1.010977 0.049005 1.234319
1.117391 0.082610 1.234319
1.034715 0.064967 1.234319
1.016209 0.231615 1.082845
1.090065 0.097034 4.576757
1.208819 0.115858 0.583095
1.277506 0.162749 0.583095
1.185357 0.077336 0.583095
1.292882 0.150287 0.583095
0.771875 0.167345 0.583095
1.252281 0.130967 0.583095
0.962633 0.092846 0.335276
1.163262 0.089666 0.335276
1.022429 0.099616 0.335276
1.137581 0.093606 0.335276
0.983425 0.112541 0.335276
1.117763 0.183940 0.306070
0.904127 0.150882 0.306070
1.095403 0.211902 0.306070
0.853404 0.177467 0.306070
0.823763 0.397493 0.306070
0.760264 0.124641 0.306070
1.093075 0.104700 0.306070
0.922901 0.077020 0.306070
1.114697 0.079272 0.306070
0.973140 0.109740 0.306070
1.151352 0.107684 0.306070
0.995946 0.161627 0.306070
1.196920 0.201902 0.306070
1.011945 0.135725 0.306070
1.201593 0.271643 0.306070
1.041005 0.115861 0.306070
1.189438 0.064295 0.520571
1.061689 0.097505 0.568678
1.158925 0.087356 0.568678
1.046628 0.101424 0.568678
1.131024 0.073990 0.568678
1.043352 0.170251 0.568678
1.118405 0.163447 0.568678
1.032587 0.272441 0.568678
0.797877 0.162285 0.568678
1.049082 0.115207 0.568678
1.090931 0.080943 0.568678
1.114535 0.091393 2.110407
1.114257 0.152873 2.110407
1.499312 0.264558 2.110407
1.020172 0.058465 2.110407
1.194795 0.152688 2.110407
0.966174 0.084578 2.110407
1.153150 0.144974 2.110407
1.022605 0.138264 3.356316
1.151237 0.147886 0.640893
0.980400 0.113178 0.640893
1.120795 0.054266 0.640893
0.985872 0.247148 0.640893
1.114063 0.074498 0.640893
0.945857 0.086601 0.640893
0.900236 0.119375 6.220497
0.774954 0.203036 6.220497
0.928694 0.147731 6.220497
0.752459 0.349014 6.220497
1.147617 0.174161 6.220497
0.783489 0.172242 6.220497
1.178027 0.128661 6.220497
0.881525 0.095924 6.220497
1.188259 0.103635 6.220497
0.951468 0.132470 6.220497
1.248064 0.127376 6.220497
0.990487 0.144947 6.220497
1.268273 0.254573 6.220497
1.241117 0.104453 6.220497
1.220439 0.248310 0.491718
1.041021 0.130125 0.491718
1.165082 0.112429 0.491718
1.039387 0.071050 9.721713
1.133073 0.164973 9.721713
0.982241 0.109657 9.721713
1.024323 0.161193 9.721713
0.984464 0.193071 9.721713
1.155809 0.212270 9.721713
1.023780 0.240492 9.721713
1.328723 0.091498 9.721713
1.294001 0.206300 9.721713
0.483487 0.157955 9.721713
1.584768 0.226189 9.721713
0.960859 0.181381 9.721713
1.349520 0.163237 9.721713
